240 non-cleanup distinct
    0 x1    iree-check-vhlostablehlo-mix-usage
    1 x1    vhlo-to-version
    2 x1    vhlo-legalize-to-stablehlo
    4 x5    iree-stablehlo-canonicalize
    6 x1    iree-stablehlo-legalize-custom-calls
    7 x1    iree-stablehlo-legalize-control-flow
    8 x1    iree-stablehlo-preprocessing-flatten-scf-tuples
    9 x1    iree-stablehlo-to-stablehlo-preprocessing
   11 x1    shape-to-shape-lowering
   12 x1    convert-shape-to-std
   16 x9    inline
   20 x1    iree-stablehlo-legalize-shape-computations
   21 x1    iree-stablehlo-to-linalg-ext
   22 x1    chlo-legalize-to-stablehlo
   23 x1    iree-stablehlo-to-iree-input
   24 x25   reconcile-unrealized-casts
   27 x1    iree-stablehlo-verify-compiler-input-legality
   28 x2    iree-auto-input-conversion
   29 x2    iree-import-public
   30 x2    iree-import-ml-program
   31 x2    iree-sanitize-module-names
   32 x1    iree-input-conversion-demote-f64-to-f32
   33 x2    iree-abi-convert-streamable-ops
   34 x2    iree-abi-wrap-entry-points
   43 x3    iree-hal-assign-target-devices
   44 x5    iree-hal-materialize-target-devices
   45 x5    iree-hal-resolve-device-promises
   46 x5    iree-hal-resolve-device-aliases
   47 x7    iree-hal-verify-devices
   48 x1    coralnpu-affinity-annotation
   49 x8    iree-preprocessing-attr-based-pipeline
   50 x8    iree-global-opt-warn-on-uninitialized-values
   52 x8    iree-global-opt-quantized-conv-to-conv
   53 x8    iree-global-opt-quantized-matmul-to-matmul
   55 x8    iree-global-opt-remove-zero-extent-tensors
   56 x8    iree-global-opt-detach-elementwise-from-named-ops
   57 x8    simplify-depthwise-conv
   59 x2    iree-global-opt-erase-unused-linalg-operands
   60 x2    iree-global-opt-expand-tensor-shapes
   61 x8    convert-elementwise-to-linalg
   62 x16   iree-global-opt-raise-special-ops
   63 x8    iree-global-opt-decompose-concat
   64 x16   iree-global-opt-generalize-linalg-named-ops
   65 x8    iree-dispatch-creation-insert-tensor-barriers
   67 x2    iree-dispatch-creation-fold-unit-extent-dims
   68 x16   iree-dispatch-creation-fold-reshapes-into-tensor-barriers
   69 x8    iree-global-opt-demote-contraction-inputs-to-bf16
   72 x8    iree-global-opt-propagate-linalg-transpose
   76 x2    iree-global-opt-convert-strided-contraction-to-contraction
   78 x8    iree-global-opt-loop-invariant-code-motion
   84 x50   iree-util-fold-globals
   85 x38   iree-util-ipo
   90 x3    iree-util-hoist-into-globals
  370 x16   iree-flow-inject-tensor-tracing
  388 x2    iree-dispatch-creation-tensor-pad-to-tensor-insert-slice
  419 x48   iree-util-fuse-globals
  421 x10   iree-util-fixed-point-iterator
  422 x8    iree-dispatch-creation-fusion-preprocessing
  443 x24   iree-dispatch-creation-elementwise-op-fusion
  465 x8    iree-dispatch-creation-bubble-up-expand-shapes
  509 x8    iree-dispatch-creation-sink-reshapes
  530 x16   iree-dispatch-creation-fuse-multi-use-elementwise-producer
  539 x8    iree-dispatch-creation-split-reduction-ops
  544 x8    iree-dispatch-creation-form-split-reduction-dispatches
  549 x8    iree-dispatch-creation-transpose-generic-ops
  554 x8    iree-dispatch-creation-propagate-encodings
  585 x8    iree-dispatch-creation-form-scalar-dispatches
  593 x8    iree-dispatch-creation-form-dispatch-regions
  607 x8    iree-dispatch-creation-clone-producers-into-dispatch-regions
  612 x8    iree-dispatch-creation-collapse-dimensions
  613 x8    iree-dispatch-creation-hoist-uniform-scalar-compute
  614 x8    iree-dispatch-creation-fuse-encoding-ops-into-dispatch-regions-pass
  615 x8    iree-dispatch-creation-convert-encoding-to-flow
  621 x8    iree-dispatch-creation-remove-tensor-barriers
  640 x8    iree-dispatch-creation-convert-dispatch-regions-to-workgroups
  659 x8    iree-dispatch-creation-convert-tensor-to-flow
  668 x8    iree-dispatch-creation-materialize-default-workgroup-count-region
  669 x8    iree-dispatch-creation-bitcast-unsupported-element-types
  724 x2    iree-verify-input-legality
  725 x8    iree-util-verify-initialization-order
  726 x4    iree-util-attribute-call-graph
  727 x8    iree-flow-initialize-empty-tensors
  733 x8    iree-flow-capture-dynamic-dims
  756 x2    iree-flow-outline-dispatch-externs
  757 x2    iree-flow-outline-dispatch-regions
  758 x2    iree-flow-annotate-dispatches
  759 x34   iree-util-strip-debug-ops
  768 x2    iree-flow-deduplicate-executables
  771 x8    iree-flow-cleanup-tensor-shapes
  784 x2    iree-flow-outline-constants
  827 x2    iree-stream-verify-input
  867 x2    iree-stream-clone-to-consumers
  868 x2    iree-stream-conversion
  869 x2    iree-stream-verify-lowering-to-tensors
  918 x4    iree-util-combine-initializers
  959 x2    iree-stream-specialize-encodings
  960 x9    iree-stream-encode-host-tensors
  968 x24   iree-stream-encode-device-tensors
  969 x2    iree-stream-materialize-encodings
  970 x18   iree-stream-layout-slices
 1016 x2    iree-stream-verify-lowering-to-async-resources
 1017 x9    iree-stream-materialize-copy-on-write
 1032 x4    iree-stream-elide-async-copies
 1037 x9    iree-stream-emplace-allocations
 1048 x2    iree-stream-refine-usage
 1097 x2    iree-stream-verify-async-access-ranges
 1098 x9    iree-stream-schedule-execution
 1103 x9    iree-stream-schedule-concurrency
 1113 x2    iree-stream-sync-initializers
 1114 x2    iree-stream-propagate-timepoints
 1115 x2    iree-stream-materialize-builtins
 1155 x2    iree-stream-verify-lowering-to-async
 1156 x2    iree-stream-schedule-allocation
 1157 x2    iree-stream-emplace-transients
 1158 x2    iree-stream-materialize-transient-size-queries
 1159 x9    iree-stream-pack-constants
 1181 x4    iree-util-propagate-subranges
 1221 x2    iree-stream-automatic-reference-counting
